日付,昼雨量合計(mm),昼最大時間雨量(mm),夕方雨量合計(mm),夕方最大時間雨量(mm),朝雨量(mm),昼大雨時間数,夕方大雨時間数
2022-01-01,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-02,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-03,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-04,0.1,0.1,0.0,0.0,0.0,0,0
2022-01-05,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-06,1.9,0.8,3.7,1.5,0.0,0,0
2022-01-07,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-08,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-09,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-10,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-11,5.0,4.4,2.0,0.8,2.1,1,0
2022-01-12,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-13,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-14,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-15,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-16,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-17,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-18,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-19,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-20,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-21,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-22,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-23,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-24,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-25,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-26,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-27,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-28,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-29,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-30,0.0,0.0,0.0,0.0,0.0,0,0
2022-01-31,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-01,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-02,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-03,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-04,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-05,0.1,0.1,0.0,0.0,0.0,0,0
2022-02-06,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-07,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-08,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-09,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-10,6.2,1.8,5.2,1.8,1.1,0,0
2022-02-11,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-12,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-13,4.7,1.6,6.0,2.3,0.0,0,2
2022-02-14,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-15,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-16,0.0,0.0,0.1,0.1,0.0,0,0
2022-02-17,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-18,0.1,0.1,0.0,0.0,0.0,0,0
2022-02-19,0.0,0.0,0.4,0.4,0.0,0,0
2022-02-20,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-21,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-22,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-23,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-24,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-25,0.0,0.0,0.0,0.0,0.0,0,0
2022-02-26,0.0,0.0,0.0,0.0,0.0,0,0
